Buddhist monk's robe	jia-; sha-
French person	fa\/guo/re/n
Mainland Chinese language	da\lu\hua\
Siam	xia-n
ability and sagacity	ca/ilue\
acrylic acid	bi\/ngxi-sua-n
affirmative	ke\/ndi\ng
all things tends in one direction	ba\/ichua-ngui-ha\/i
ancient place name	chu\/; ha\/o; li\; wu-
appear very safe	si\huhe\/na-nqua/n
arrive late	chi/da\o
astronomer	tia-nwe/nxue/jia-
average	pi/ngju-n
bar the way	la/nzhu\
be blocked up	bu\to-ng
be laid up	bi\ngda\/o
be worried by	jiu-cha/n
benefice	ca\/iyi\
blacksmith	tie\/jiang
border	ji\; jia-ng; jia-ngjie\; ji\ng; ya/; yi\; zhe\/n; bia-njie\; bia-nji\ng; pi/; bia-n; xia-ng; qi/
break the rules	we-izha-ng; we/ili\
bug	fe-icho/ng
cake fertilizer	bi\/ngfe/i
car	che-; qi\che-
cause to perish	xia-omie\
chariot	lu\; si\lu/nma\/che-
cinnabar	da-nsha-; da-n
close down	da\/obi\; gua-nme/n
come across	yu\da\o
compassionate	ci/
confidence	xi\nxi-n; zi\xi\n
continent	da\lu\; zho-u
corrugation	bo-we/n
creditor	zha\iqua/nre/n
current month	be\/nyue\
date of birth	chu-she-ngri\qi-
defeat	ji-ba\i; ba\izha\ng; cuo\ba\i; to defeat: da\/ba\i; ba\i
descendents	yi\
difficult to pronounce	a/o; ji/
disfigure	bia\ncho\/u
do harm to	ha\i
dream of	<in vain me\ngxia\/n
ear of grain	sui\
eighth note	ba-fe-nyi-nfu/
emu	e/r
envy	xia\nmu\; ji/; to envy: xia\n
evil person who commits crimes	da\/itu/
exploit	bo-xue-; li\yo\ng; we\/iye\; xu-nji-; <a resource ka-ifa-
fall down	ya\/n; yu\/nluo\
feel compassion for	a-ilia/n
files	a\njua\n
fish roe	e/r
flushed	<from drinking tuo/
foreign exchange	wa\ihui\
fraud	pia\nju/; wu\/bi\; zuo\bi\; bi\
fussy	luo-
germ	ju-n
glad eye	a\nso\ngqiu-bo-
gong	luo/
great problem	da\we\nti/
gymnastic	ti\/ca-o
harry	lue\duo/
hearty	che/ngke\/n
high level official	ga-oji/gua-nyua/n
homing	xu/ndi\
humanity	re/nda\o; re/nle\i
illustrate	tu/jie\/shuo-mi/ng; to illustrate: shuo-mi/ng; xia\/nshi\
in charge of	fu\ze/; zha\/ng
incident	a\n; za-o
inflamed eyelids	yua-n
instrument	<scientific, etc yi/qi\; go-ngju\
invariably	bu\bia\nhua\
jail	a\n; ba-nfa/ng
keep under	<control ya-
lake salt	chi/ya/n
laurel	yue\gui\shu\
lemonade	ni/ngme/ngshui\/
likelihood	duo-ba\n
loft	lo/uxia-ng; ge/lo/u
love and esteem	a\ida\i
main category	da\le\i
make something prominent	tu-xia\/n
marquis	ho/u; ho/ujue/
medicine bottle	ya\opi/ng
mighty	qia/ngshi\
mix water with clay	sha-n
mosses on damp walls	xia\/n
mural	<painting bi\hua\
navigation	da\/oha/ng
newsprint	ba/iba\ozhi\
northward	xia\ngbe\/idi\
not take a proper measure of oneself	bu/zi\lia\ng
oat	ya-nma\i
old age	ba/ito/u
onto	da\ozhi-sha\ng
ornamental	bi-n; bi-n
oversensitive	she/nji-ngguo\mi\/n
parent or guardian of a child	jia-zha\/ng
pay in advance	yu\fu\
period	ju\ha\o; zho-uji-; ji\; jie\; ke\shi/; shi/jia-n; shi/qi-; ji\jie/; li\shi/; ji\; nia/nda\i; qi-jia-n; shi/da\i; shi/ho\u; shi/; qi-; da\i
piebald	zhui-
play for time	a/i
polygonum	lia\/o
preacher	chua/nda\ozhe\/
primary ring	zhu\/hua/n
propitious	xia/ng; rui\
punish	che/ng; to punish: ba\nzui\; fa/
quicksilver	shui\/yi/n
rationale	he/li\/
recorder	ji\lu\yua/n
relative	<ie, family member qi-nqi; qi-
reproof	fe-ina\n
revenge	ba\ofu\; ba\o; <oneself ba\ocho/u
roast in ashes	we-i
run errands	pa\/otui\/r
satire	fe\ngci\
screen door	pi/ngme/n
seize the opportune moment	bu\shi-shi/ji-
servo	si\fu/
shelf	ge-ba\/n
shrub	gua\nmu\
siren	ji\/ngba\oqi\; ji\/ngdi/
small bell	li/ng
software distributor	rua\/nti\/pe\iso\ngzhe\/
space flight	ha/ngtia-n; yu\/ha/ng
spit at	tuo\
stand by	zhi-chi/
stench	cho\u
straps	<for a knapsack be-ida\i
subpar	qia\njia-
supper	su-n; wa\/nfa\n
switching technology	jia-ohua\nji\shu\
take shape	xi/ngche/ng
technique	sho\/ufa\/; ji\qia\/o; ji\shu\; shu\; shu\
that is	jiu\shi\shuo-; yi\ji/
thong	yo-ng
tired of	ni\
towering	so\/ng
treble	sa-ncho/ng
turn down	bo/hui/
undecided	chi/; chu/
